 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
   2.05494905       3.75802183       4.73778105      -7.58639812    
   1.44261456       1.03724074     -0.597853720      -8.92426872    
   1.25490916       3.94400930       8.32207584       3.27766013    
   4.23083401       3.30520439      -5.84882736      -6.76692104    
   4.80691814       2.34794784       6.81730604       5.79002094    
   1.05461287       1.31395149       2.93581605      -8.44872665    
   4.22265673       2.88754940       3.26768756       8.32599640    
 Step           31 complete
   3.84652424      0.599476814       4.10229158      -7.94803143    
   2.05664015       4.37852240      -6.07194853       6.56745338    
   2.42229795       3.03361464       4.64580107       7.64307117    
   2.52872705       2.99938202       4.73778105      -7.58639812    
   1.38282919      0.144813865     -0.597853720      -8.92426872    
   2.08711672       4.27177525       8.32207584       3.27766013    
   3.64595127       2.62851238      -5.84882736      -6.76692104    
   4.51135111       2.92694998      -6.81730604       5.79002094    
   1.34819448      0.469078809       2.93581605      -8.44872665    
   4.54942560       3.72014904       3.26768756       8.32599640    
 Step           32 complete
   4.25675344       1.39427996       4.10229158       7.94803143    
   1.44944525       4.96473217      -6.07194853      -6.56745338    
   2.88687801       3.79792166       4.64580107       7.64307117    
   3.00250506       2.24074221       4.73778105      -7.58639812    
   1.32304382       1.03724074     -0.597853720       8.92426872    
   2.91932440       4.59954119       8.32207584       3.27766013    
   3.06106853       1.95182025      -5.84882736      -6.76692104    
   3.82962060       3.50595212      -6.81730604       5.79002094    
   1.64177608       1.31395149       2.93581605       8.44872665    
   4.87619448       4.55274868       3.26768756       8.32599640    
 Step           33 complete
   4.66698265       2.18908310       4.10229158       7.94803143    
  0.842250407       4.30798674      -6.07194853      -6.56745338    
   3.35145807       4.56222868       4.64580107       7.64307117    
   3.47628307       1.48210239       4.73778105      -7.58639812    
   1.26325846       1.92966759     -0.597853720       8.92426872    
   3.75153208       4.92730713       8.32207584       3.27766013    
   2.47618580       1.27512813      -5.84882736      -6.76692104    
   3.14789009       4.08495426      -6.81730604       5.79002094    
   1.93535769       2.15882421       2.93581605       8.44872665    
   4.79703665       4.61465168      -3.26768756      -8.32599640    
 Step           34 complete
   4.92278814       2.98388624      -4.10229158       7.94803143    
  0.235055551       3.65124130      -6.07194853      -6.56745338    
   3.81603813       4.67346430       4.64580107      -7.64307117    
   3.95006108      0.723462582       4.73778105      -7.58639812    
   1.20347309       2.82209444     -0.597853720       8.92426872    
   4.58373976       4.74492693       8.32207584      -3.27766013    
   1.89130306      0.598435998      -5.84882736      -6.76692104    
   2.46615958       4.66395617      -6.81730604       5.79002094    
   2.22893929       3.00369692       2.93581605       8.44872665    
   4.47026777       3.78205204      -3.26768756      -8.32599640    
 Step           35 complete
   4.51255894       3.77868938      -4.10229158       7.94803143    
  0.842250407       2.99449587       6.07194853      -6.56745338    
   4.28061819       3.90915728       4.64580107      -7.64307117    
   4.42383909       1.48210239       4.73778105       7.58639812    
   1.14368773       3.71452141     -0.597853720       8.92426872    
   4.58405256       4.41716099      -8.32207584      -3.27766013    
   1.30642033       1.27512813      -5.84882736       6.76692104    
   1.78442895       4.75704193      -6.81730604      -5.79002094    
   2.52252102       3.84856963       2.93581605       8.44872665    
   4.14349890       2.94945240      -3.26768756      -8.32599640    
 Step           36 complete
